#### EXPORT DONNEES METEO POUR "Toulouse (Haute-Garonne) (Midi-Toulousain)" (LAT/LON: 43.604652/1.444209)
#### DONNEES PROVENANT DE https://www.historique-meteo.net - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/assets/docs/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2025-12-01,10,3,8,3,8,6,0,89,10,1022,27.375,10,5,2,113,116,116,0,2,9,,17:19:00,08:08:00,5,113,4,113,10,113,5,116,7,176
2025-12-02,10,6,15,6,10,7,1.9,74,7.875,1015,86.625,10,6,3,122,176,266,0,2,3,,17:19:00,08:09:00,7,116,6,119,8,266,7,296,6,122
2025-12-03,9,6,20,7,8,6,0.9,90,8,1018,82.875,9,6,3,176,176,176,0,2,2,,17:18:00,08:10:00,7,266,6,122,9,176,5,113,6,266
2025-12-04,9,5,24,5,8,7,3.2,88,9.625,1017,70,9,7,3,113,296,176,0,3,1,,17:18:00,08:11:00,6,116,6,296,9,176,7,296,7,116
2025-12-05,11,6,17,6,10,9,0.6,93,9.75,1016,72.125,11,6,3,176,113,119,0,2,7,,17:18:00,08:12:00,8,176,6,176,11,116,9,176,8,353
2025-12-06,13,10,8,10,12,12,0,85,10,1020,65.75,13,11,9,113,119,116,0,3,1,,17:18:00,08:13:00,9,116,10,176,13,122,11,116,9,122
2025-12-07,16,11,7,11,14,13,0,73,10,1021,42.625,16,10,10,176,119,113,0,4,8,,17:18:00,08:14:00,11,116,11,119,16,113,11,113,11,116
2025-12-08,17,9,14,9,15,12,0,91,10,1021,2.625,17,9,8,113,113,113,0,4,9,,17:18:00,08:15:00,10,113,10,113,17,113,11,113,11,113
2025-12-09,16,10,28,10,15,12,0,90,10,1020,14.5,16,10,7,113,113,113,0,4,9,,17:18:00,08:16:00,10,113,11,116,16,113,11,113,10,116
2025-12-10,14,9,6,9,14,12,0,93,10,1023,67.25,14,9,8,116,122,122,0,4,2,,17:18:00,08:17:00,10,116,9,116,13,176,11,119,10,116
