#### EXPORT DONNEES METEO POUR "Toulouse (Haute-Garonne) (Midi-Toulousain)" (LAT/LON: 43.604652/1.444209)
#### DONNEES PROVENANT DE https://www.historique-meteo.net - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/assets/docs/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2025-12-11,15,9,15,11,13,11,0,94,9,1026,49,15,10,8,119,116,113,0,3,9,,17:18:00,08:17:00,11,122,9,143,15,113,10,113,11,122
2025-12-12,15,8,13,8,13,11,0,94,8,1023,27.5,15,9,6,143,116,113,0,4,9,,17:18:00,08:18:00,9,116,9,143,15,113,9,113,10,116
2025-12-13,14,7,6,7,12,10,0,92,10,1028,9.75,14,8,7,113,113,113,0,3,9,,17:18:00,08:19:00,8,113,8,113,14,113,9,113,9,113
2025-12-14,13,6,21,6,11,10,0,92,10,1026,11.875,13,7,5,113,113,113,0,3,9,,17:18:00,08:20:00,7,113,6,113,13,113,9,113,8,113
2025-12-15,15,9,32,9,15,13,0,91,10,1019,65.375,15,10,7,116,176,122,0,4,5,,17:18:00,08:21:00,10,116,10,116,15,122,12,122,10,116
2025-12-16,15,11,22,11,14,12,0,86,10,1017,40.125,15,9,8,116,116,116,0,4,8,,17:19:00,08:21:00,11,116,11,116,15,116,10,116,12,116
2025-12-17,13,7,4,7,12,10,0,95,7,1023,48.5,13,9,7,143,116,116,0,3,9,,17:19:00,08:22:00,7,143,8,143,13,116,9,113,8,116
2025-12-18,15,8,30,8,14,12,0,93,10,1024,18.125,15,10,6,116,113,113,0,4,9,,17:19:00,08:23:00,8,116,9,116,15,113,12,113,8,113
2025-12-19,13,8,12,8,12,11,0,93,10,1021,58,13,9,6,113,122,176,0,4,4,,17:20:00,08:23:00,9,116,8,116,13,122,11,122,11,113
2025-12-20,12,9,8,9,11,10,0,90,10,1020,81.125,12,8,8,119,122,122,0,2,1,,17:20:00,08:24:00,9,122,9,116,12,122,9,116,9,119
2025-12-21,11,8,12,8,11,8,0.2,88,9,1008,67,11,8,7,116,176,122,0,2,6,,17:21:00,08:24:00,9,116,8,116,11,116,5,266,9,122
2025-12-22,7,5,8,5,6,5,0.7,88,8,1007,93.875,7,3,3,176,116,176,0,2,1,,17:21:00,08:25:00,5,266,5,122,7,176,5,122,5,266
2025-12-23,6,5,8,6,6,6,5.4,95,7.5,1012,100,6,5,4,296,266,122,0,2,1,,17:22:00,08:25:00,6,176,6,302,6,266,6,122,5,176
2025-12-24,8,6,21,7,8,6,0,93,10,1013,91,8,5,3,122,116,176,0,2,3,,17:22:00,08:26:00,7,122,6,119,7,122,4,176,6,122
2025-12-25,3,0,9,1,3,2,0.1,83,10,1020,72.25,3,1,-2,113,119,122,0,1,3,,17:23:00,08:26:00,2,176,0,113,3,122,3,122,3,176
2025-12-26,10,5,31,5,7,9,0,85,10,1019,77.625,10,6,3,122,176,116,0,2,1,,17:24:00,08:26:00,3,122,5,122,10,119,8,113,3,122
2025-12-27,12,8,26,9,12,9,0,82,10,1022,34.25,12,6,5,119,116,113,0,3,9,,17:24:00,08:27:00,8,176,8,116,12,113,7,113,8,116
2025-12-28,13,6,12,6,11,9,0,74,10,1022,7.5,13,6,4,113,113,113,0,3,9,,17:25:00,08:27:00,7,113,6,113,13,113,7,113,7,113
2025-12-29,12,5,6,5,10,8,0,90,10,1021,15.25,12,5,4,113,113,113,0,3,9,,17:26:00,08:27:00,6,113,5,113,12,113,7,113,7,113
2025-12-30,10,5,19,5,9,7,0,95,9,1022,43.375,10,6,2,143,116,113,0,3,5,,17:27:00,08:27:00,5,113,6,176,10,176,4,113,6,113
2025-12-31,6,-1,9,-0,4,3,0,81,10,1023,0,6,0,-3,113,113,113,0,2,9,,17:28:00,08:27:00,1,113,-1,113,6,113,1,113,2,113
