#### EXPORT DONNEES METEO POUR "Toulouse (Haute-Garonne) (Midi-Toulousain)" (LAT/LON: 43.604652/1.444209)
#### DONNEES PROVENANT DE https://www.historique-meteo.net - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/assets/docs/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2025-11-01,21,15,20,15,20,17,0,88,10,1018,53.25,24,13,14,113,116,119,0,5,10,,17:45:00,07:30:00,16,116,16,116,21,116,15,122,15,116
2025-11-02,16,12,28,12,16,13,0.8,86,9,1025,83.625,16,10,11,353,176,176,0,3,5,,17:44:00,07:32:00,12,266,13,119,16,176,13,176,14,353
2025-11-03,17,9,8,9,15,14,0.1,95,8,1027,31.875,17,9,8,143,113,113,0,3,10,,17:43:00,07:33:00,10,143,11,116,17,113,12,113,11,176
2025-11-04,19,11,30,11,17,15,0,81,10,1023,8.625,19,12,8,113,113,113,0,4,10,,17:41:00,07:34:00,10,113,13,113,19,113,15,116,11,113
2025-11-05,21,14,37,14,20,17,0,82,10,1018,23.625,21,12,12,113,113,116,0,5,10,,17:40:00,07:36:00,14,113,16,113,21,113,16,119,14,113
2025-11-06,16,11,32,15,11,11,10.1,91,9,1009,85.25,16,12,10,176,302,302,0,3,2,,17:39:00,07:37:00,16,176,15,296,12,296,11,176,16,119
2025-11-07,16,12,15,12,15,14,5.1,95,9.5,1013,77.5,16,11,10,353,176,113,0,3,2,,17:38:00,07:38:00,11,296,12,353,16,176,12,116,11,302
2025-11-08,15,11,21,11,13,11,6.6,95,8.625,1021,89.25,15,10,9,296,176,176,0,3,1,,17:37:00,07:40:00,11,296,11,266,15,176,10,176,11,296
2025-11-09,14,8,9,8,13,11,0,97,9,1022,43.375,14,8,6,143,116,113,0,3,10,,17:35:00,07:41:00,9,176,9,116,14,113,9,113,9,176
2025-11-10,16,8,7,8,14,13,0,88,10,1018,32.875,16,7,6,116,113,113,0,4,8,,17:34:00,07:42:00,8,113,9,122,16,113,12,113,9,116
2025-11-11,17,9,27,9,16,13,0,73,10,1017,22.25,17,9,8,113,113,113,0,4,10,,17:33:00,07:43:00,9,116,10,116,17,113,12,113,10,116
2025-11-12,20,13,30,13,19,16,0,85,10,1014,8.25,20,12,10,116,113,113,0,5,10,,17:32:00,07:45:00,12,113,14,113,20,113,15,113,12,113
2025-11-13,20,16,42,16,20,17,0,77,10,1014,11.5,20,13,16,113,113,116,0,5,10,,17:31:00,07:46:00,15,113,16,113,19,116,17,113,16,113
2025-11-14,20,17,44,17,20,16,0.2,75,9.375,1009,43.625,20,14,17,113,113,176,0,5,7,,17:30:00,07:47:00,17,119,17,113,19,263,15,113,18,116
2025-11-15,19,13,7,13,17,15,0,76,10,1009,28.5,19,9,13,176,113,113,0,4,8,,17:29:00,07:49:00,12,116,13,176,19,113,14,113,13,113
2025-11-16,18,11,19,11,16,14,0.1,89,10,1011,37.625,18,10,11,119,113,113,0,3,10,,17:28:00,07:50:00,12,116,11,113,18,116,12,113,14,176
2025-11-17,12,11,22,11,12,9,0.7,89,9,1020,67.75,12,9,9,176,353,122,0,4,1,,17:27:00,07:51:00,10,116,11,266,12,353,7,113,12,116
2025-11-18,8,3,19,4,7,5,0,88,10,1023,7.875,8,3,0,113,116,113,0,3,9,,17:27:00,07:52:00,5,113,3,113,8,113,4,113,6,113
2025-11-19,11,2,16,2,8,8,0.9,72,9.875,1020,56.875,11,7,-1,122,119,116,0,3,9,,17:26:00,07:54:00,2,119,3,113,11,116,8,296,3,113
2025-11-20,7,2,18,2,6,5,0.2,88,9.625,1020,57.875,7,2,-1,116,116,176,3,2,7,,17:25:00,07:55:00,4,113,3,119,7,116,4,371,6,116
2025-11-21,5,1,28,1,4,3,0.4,86,9.625,1029,77,5,1,-4,176,119,116,5,1,6,,17:24:00,07:56:00,2,371,1,119,5,362,1,116,2,326
2025-11-22,6,0,16,-0,5,3,0,91,10,1032,27.25,6,0,-5,113,113,116,0,1,10,,17:24:00,07:57:00,1,113,0,113,6,113,2,116,2,176
2025-11-23,12,5,32,5,11,11,6.2,93,9.5,1023,94.75,12,9,5,296,296,122,0,2,1,,17:23:00,07:59:00,2,296,9,296,12,176,10,122,3,122
2025-11-24,13,10,39,10,12,10,2.7,83,7.875,1012,87.25,13,9,8,119,296,353,0,3,2,,17:22:00,08:00:00,11,266,11,119,13,266,8,353,11,122
2025-11-25,9,8,24,9,9,7,0.7,87,9.75,1019,63.375,9,7,4,176,176,176,0,2,4,,17:22:00,08:01:00,9,176,8,116,9,176,5,113,8,176
2025-11-26,8,3,25,3,6,5,0.2,89,10,1025,69.375,8,2,-1,119,122,176,0,2,3,,17:21:00,08:02:00,4,116,3,176,8,176,4,176,5,116
2025-11-27,8,1,13,1,7,6,0,90,10,1027,34.5,8,1,-1,113,113,122,0,2,8,,17:21:00,08:03:00,2,113,2,113,8,113,6,176,3,116
2025-11-28,10,6,3,6,8,8,0,59,10,1026,43.25,10,2,6,116,116,116,0,3,9,,17:20:00,08:04:00,5,116,6,116,10,113,7,116,4,116
2025-11-29,13,5,10,5,11,10,0,79,10,1022,30.375,13,5,5,116,113,113,0,3,9,,17:20:00,08:05:00,6,116,6,116,13,113,9,116,6,113
2025-11-30,11,8,17,8,10,8,0.3,94,9,1022,83.625,11,7,6,176,119,116,0,2,6,,17:19:00,08:07:00,8,122,8,266,11,116,8,176,8,122
