#### EXPORT DONNEES METEO POUR "Toulouse (Haute-Garonne) (Midi-Toulousain)" (LAT/LON: 43.604652/1.444209)
#### DONNEES PROVENANT DE https://www.historique-meteo.net - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/assets/docs/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2026-01-01,8,-1,13,-1,5,3,0,82,10,1021,3.25,8,0,-4,113,113,113,0,2,9,,17:28:00,08:27:00,0,113,-1,113,8,113,2,113,0,113
2026-01-02,7,1,5,1,5,5,0,80,10,1016,34.125,7,0,0,113,116,116,0,2,9,,17:29:00,08:27:00,1,113,1,113,7,116,4,176,2,113
2026-01-03,6,2,12,2,4,3,0,72,10,1013,41.75,6,0,0,116,116,122,0,2,7,,17:30:00,08:27:00,2,116,2,113,6,116,1,116,2,113
2026-01-04,3,-3,17,-2,1,-0,0,84,10,1016,29.75,3,0,-7,113,116,116,0,2,7,,17:31:00,08:27:00,-1,113,-3,113,3,119,-1,116,1,116
2026-01-05,2,-4,21,-3,1,-1,0,85,10,1019,30.375,2,0,-9,113,113,113,0,1,9,,17:32:00,08:27:00,-3,122,-4,113,2,113,-2,116,-2,122
2026-01-06,4,-3,19,-3,2,1,0,69,10,1024,11,4,0,-6,113,113,113,1,2,8,,17:33:00,08:27:00,-3,113,-3,113,4,116,-2,113,-3,113
2026-01-07,5,-4,11,-4,3,4,1.4,86,8.875,1023,44.875,5,4,-7,113,113,176,0,2,6,,17:34:00,08:27:00,-4,113,-4,116,5,266,5,296,-4,113
2026-01-08,12,9,40,9,11,11,5.9,91,9.5,1021,81.75,12,9,5,296,122,116,0,2,1,,17:35:00,08:27:00,8,296,10,296,12,122,8,113,5,296
2026-01-09,10,7,40,9,7,6,1,85,9,1017,79.5,10,6,2,119,266,176,0,3,1,,17:36:00,08:27:00,10,176,8,176,7,176,6,176,9,116
2026-01-10,8,5,32,5,8,7,2.1,87,10,1025,90.875,8,4,1,353,353,176,0,2,4,,17:38:00,08:26:00,6,353,6,176,8,353,6,176,6,353
2026-01-11,9,4,7,4,8,7,0,92,9,1026,48.125,9,4,3,122,116,116,0,2,9,,17:39:00,08:26:00,4,143,4,116,9,116,6,116,5,176
2026-01-12,10,5,25,6,9,7,0,74,10,1022,17.5,10,4,2,116,113,113,0,3,9,,17:40:00,08:26:00,5,116,5,113,10,113,6,113,5,113
2026-01-13,13,6,23,6,11,10,0,91,10,1017,40.375,13,7,2,116,113,122,0,3,6,,17:41:00,08:25:00,6,116,6,113,13,122,8,113,6,113
2026-01-14,13,7,8,8,11,10,0,94,10,1020,33.75,13,8,6,116,116,113,0,3,9,,17:42:00,08:25:00,8,116,7,116,13,116,8,116,9,116
2026-01-15,13,6,26,6,12,10,0,87,10,1021,33,13,8,3,116,113,122,0,3,9,,17:43:00,08:24:00,7,116,6,113,13,113,8,113,8,116
2026-01-16,10,7,4,8,9,8,0,93,10,1015,76.625,10,7,7,122,122,116,0,2,2,,17:45:00,08:24:00,8,122,7,176,10,122,7,113,7,119
2026-01-17,12,6,21,6,10,10,0,93,10,1013,70.875,12,7,4,116,122,176,0,3,1,,17:46:00,08:23:00,6,113,6,122,12,176,10,122,6,113
2026-01-18,10,8,6,8,8,8,1.5,94,7,1015,100,10,7,7,176,176,176,0,2,1,,17:47:00,08:23:00,8,266,8,299,8,176,7,176,10,176
2026-01-19,8,7,6,7,8,8,3.5,97,6.875,1020,100,8,7,6,296,266,266,0,2,1,,17:48:00,08:22:00,7,176,7,266,8,176,8,266,7,266
2026-01-20,11,7,29,7,9,9,0,96,8,1019,77.625,11,7,6,176,176,116,0,2,2,,17:50:00,08:21:00,7,176,7,176,11,119,8,116,8,176
2026-01-21,11,4,18,4,9,8,2.7,88,9.625,1014,25,11,5,2,113,113,176,0,3,9,,17:51:00,08:21:00,6,113,4,113,11,113,6,356,7,113
2026-01-22,11,8,24,8,9,8,1.4,85,9,1003,75.125,11,7,5,176,176,116,0,2,3,,17:52:00,08:20:00,8,266,8,176,11,353,5,113,9,176
2026-01-23,8,5,13,5,7,6,0,87,10,1001,45,8,4,3,116,176,113,0,3,4,,17:53:00,08:19:00,5,116,6,176,8,116,4,113,5,113
2026-01-24,8,4,22,4,7,6,2.2,89,8.875,1001,72.5,8,4,1,116,116,266,0,3,3,,17:55:00,08:18:00,6,116,5,122,8,176,6,296,5,116
2026-01-25,10,5,33,5,10,5,2.4,90,8.875,1005,77.25,10,5,1,116,116,296,0,2,7,,17:56:00,08:17:00,7,353,5,116,9,266,7,176,6,353
2026-01-26,10,4,18,4,9,8,0.3,94,9,1009,58.625,10,6,1,143,176,113,0,2,6,,17:57:00,08:17:00,6,176,5,119,10,113,6,113,7,353
2026-01-27,10,7,29,8,10,7,3,88,9.75,1003,75.75,10,6,4,113,119,296,0,2,1,,17:59:00,08:16:00,9,116,8,122,7,296,6,176,9,122
2026-01-28,9,4,19,5,8,7,0.9,92,8,999,57.25,9,4,1,119,116,113,0,2,8,,18:00:00,08:15:00,5,266,4,113,9,119,5,116,5,266
2026-01-29,9,4,8,4,9,8,0.2,86,9,1004,57.125,9,6,2,113,119,116,0,2,6,,18:01:00,08:14:00,6,119,4,116,8,266,8,116,4,119
2026-01-30,13,6,23,7,12,10,6.4,85,9.5,1007,51.75,13,7,4,113,113,296,0,2,7,,18:03:00,08:13:00,8,176,6,116,13,116,8,116,8,302
2026-01-31,9,5,26,5,7,8,7.8,89,7.5,1013,97.875,9,6,1,176,296,353,0,2,2,,18:04:00,08:12:00,7,302,6,266,9,353,7,176,8,266
