#### EXPORT DONNEES METEO POUR "Toulouse (Haute-Garonne) (Midi-Toulousain)" (LAT/LON: 43.604652/1.444209)
#### DONNEES PROVENANT DE https://www.historique-meteo.net - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/assets/docs/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2025-04-01,19,5,9,5,16,17,0,66,10,1016,12.75,19,6,4,113,113,113,0,4,13,,20:21:00,07:36:00,8,113,8,113,19,113,11,122,9,113
2025-04-02,17,10,37,10,15,15,3.5,79,9.375,1009,44.25,17,7,6,122,113,122,0,4,8,,20:22:00,07:34:00,10,113,10,356,17,113,11,116,10,113
2025-04-03,17,11,31,11,17,15,0,76,10,1015,51.5,17,9,8,116,116,113,0,3,12,,20:23:00,07:32:00,11,119,13,116,17,116,13,113,11,122
2025-04-04,17,11,31,11,17,17,0,74,10,1014,30.375,17,9,8,113,116,113,0,4,9,,20:25:00,07:31:00,12,116,13,119,17,113,14,113,13,116
2025-04-05,20,11,16,11,18,20,0,90,10,1014,39.625,20,10,8,113,116,116,0,4,9,,20:26:00,07:29:00,12,113,13,119,19,122,16,116,12,113
2025-04-06,20,10,17,10,19,20,0.3,89,10,1014,50.375,20,11,8,116,116,116,0,4,9,,20:27:00,07:27:00,12,116,14,176,20,176,17,113,13,116
2025-04-07,21,9,13,9,17,20,0,97,9,1020,29.5,21,11,8,119,116,113,0,4,12,,20:28:00,07:25:00,11,116,12,119,21,113,15,113,14,113
2025-04-08,23,9,5,9,20,23,0,91,10,1022,6.875,25,11,9,113,113,116,0,5,13,,20:29:00,07:24:00,11,113,12,113,23,113,18,113,12,113
2025-04-09,22,9,12,9,18,22,0,92,10,1021,21.5,25,10,8,113,113,113,0,4,11,,20:30:00,07:22:00,11,113,14,113,22,122,17,113,13,116
2025-04-10,22,9,15,9,19,21,0,94,10,1021,13.875,24,10,8,113,113,116,0,4,13,,20:32:00,07:20:00,11,113,14,113,22,113,17,116,13,113
2025-04-11,21,11,24,11,19,18,0,89,10,1020,29.625,24,11,9,113,113,116,0,4,11,,20:33:00,07:18:00,12,113,14,116,21,116,14,119,13,113
2025-04-12,22,11,20,11,20,19,1.3,90,10,1012,39.75,24,11,10,113,113,116,0,5,11,,20:34:00,07:17:00,12,305,15,113,22,116,14,119,12,113
2025-04-13,16,13,7,13,16,16,1.8,97,8,1011,94.75,16,13,13,176,176,122,0,3,1,,20:35:00,07:15:00,13,122,14,305,16,176,14,122,13,122
