#### EXPORT DONNEES METEO POUR "Toulouse (Haute-Garonne) (Midi-Toulousain)" (LAT/LON: 43.604652/1.444209)
#### DONNEES PROVENANT DE https://www.historique-meteo.net - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/assets/docs/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2026-02-01,12,6,19,8,11,10,0.3,87,10,1014,87.5,12,7,4,176,116,122,0,2,5,,18:05:00,08:11:00,8,176,6,122,12,122,9,119,9,353
2026-02-02,13,7,33,7,12,11,0.1,85,10,1005,41.75,13,8,4,119,113,116,0,3,10,,18:07:00,08:10:00,7,113,9,116,13,113,10,176,7,116
2026-02-03,13,6,18,6,11,9,0.8,89,9.875,1000,26,13,6,4,113,113,113,0,2,10,,18:08:00,08:08:00,7,116,6,113,13,113,7,113,8,296
2026-02-04,10,5,15,5,9,8,0,92,10,999,43.375,10,4,2,116,116,116,0,3,6,,18:09:00,08:07:00,5,113,6,122,10,176,6,116,6,113
2026-02-05,12,7,34,7,11,10,0.7,84,9.375,995,50.875,12,8,4,116,113,263,0,2,7,,18:11:00,08:06:00,7,116,7,113,12,122,9,176,7,176
2026-02-06,14,7,15,8,12,11,0,83,9.875,1001,42.625,14,6,5,113,200,116,0,3,10,,18:12:00,08:05:00,9,113,7,116,14,113,9,122,7,116
2026-02-07,11,6,11,6,9,9,1,91,7,1008,51.875,11,5,4,266,113,113,0,3,8,,18:13:00,08:04:00,7,266,6,266,11,113,6,116,6,116
2026-02-08,7,6,10,6,7,7,1.7,90,8.875,1012,89,7,6,5,122,296,176,0,2,1,,18:15:00,08:02:00,7,176,7,176,7,266,6,116,7,122
2026-02-09,12,5,10,5,10,10,0.1,93,10,1010,55.625,12,6,5,116,113,116,0,2,10,,18:16:00,08:01:00,7,122,6,116,12,116,9,176,7,176
2026-02-10,13,9,18,9,11,13,12.6,95,6.75,1006,97.375,13,12,7,353,296,296,0,3,1,,18:17:00,08:00:00,8,296,10,266,11,389,13,302,8,266
2026-02-11,15,12,35,12,15,12,4.1,82,8.875,1008,82.5,15,10,9,176,176,263,0,3,5,,18:19:00,07:59:00,12,176,12,176,13,122,11,302,13,176
2026-02-12,12,9,62,9,10,10,1,75,9,1007,66.375,12,7,4,266,176,176,0,4,1,,18:20:00,07:57:00,11,116,10,176,11,353,9,176,12,113
2026-02-13,11,7,22,7,10,9,0.8,83,8,1007,76.125,11,7,5,116,119,266,0,2,4,,18:21:00,07:56:00,8,113,8,122,11,176,8,266,9,176
2026-02-14,8,6,33,8,8,4,2.9,94,9.75,1020,100,8,7,1,176,176,122,1,2,1,,18:23:00,07:54:00,8,296,8,176,6,176,4,176,8,296
2026-02-15,10,2,22,2,7,9,2.3,87,7.875,1023,79.5,10,6,-2,116,122,296,0,2,2,,18:24:00,07:53:00,4,176,3,116,8,266,10,266,4,176
2026-02-16,12,10,36,10,11,10,3.3,91,7.875,1018,87.75,12,10,7,296,176,353,0,3,4,,18:26:00,07:52:00,10,266,11,266,12,353,10,353,10,176
2026-02-17,10,7,24,8,9,9,1,91,8,1020,85.75,10,9,4,176,266,176,0,2,1,,18:27:00,07:50:00,9,176,8,176,7,266,10,176,9,176
2026-02-18,15,8,25,8,14,12,1.1,84,9.875,1019,39.5,15,7,7,119,116,113,0,4,11,,18:28:00,07:49:00,9,116,9,116,15,113,8,296,9,113
2026-02-19,9,6,44,6,8,9,0.6,85,8,1023,97.25,9,5,1,122,266,176,0,2,1,,18:30:00,07:47:00,7,176,7,176,9,266,8,176,8,176
2026-02-20,11,7,25,7,11,11,0.4,88,9,1031,82.125,11,7,3,176,176,176,0,2,4,,18:31:00,07:46:00,6,116,7,176,11,176,9,176,8,266
2026-02-21,14,6,7,6,12,12,0,87,10,1033,16.125,14,7,5,113,113,113,0,3,11,,18:32:00,07:44:00,6,116,7,113,14,113,9,116,7,113
2026-02-22,16,6,8,6,13,13,0,90,10,1031,9.25,16,8,6,113,113,113,0,4,11,,18:34:00,07:43:00,7,113,8,113,16,113,10,116,8,113
2026-02-23,16,7,6,7,13,14,0,92,10,1030,9.75,16,8,6,113,113,113,0,4,11,,18:35:00,07:41:00,8,113,8,113,16,113,11,113,9,113
2026-02-24,19,8,12,8,16,15,0,88,10,1024,42.125,19,9,7,113,122,113,0,4,3,,18:36:00,07:39:00,8,113,10,122,19,122,12,113,9,113
2026-02-25,17,9,29,9,16,14,0,78,10,1022,10.375,17,10,7,113,113,113,0,4,11,,18:37:00,07:38:00,10,113,11,113,17,113,11,113,11,113
2026-02-26,19,8,11,8,16,16,0,94,10,1028,11.625,19,10,7,113,113,113,0,4,11,,18:39:00,07:36:00,9,116,10,113,19,113,12,113,10,116
2026-02-27,18,9,18,9,16,14,0,89,10,1025,2,18,9,6,113,113,113,0,4,11,,18:40:00,07:35:00,9,113,10,113,18,113,10,113,10,113
2026-02-28,11,9,17,10,9,10,0.5,91,9,1028,91.625,11,9,8,353,176,176,0,2,1,,18:41:00,07:33:00,11,266,9,176,11,176,9,119,10,176
