#### EXPORT DONNEES METEO POUR "Toulouse (Haute-Garonne) (Midi-Toulousain)" (LAT/LON: 43.604652/1.444209)
#### DONNEES PROVENANT DE https://www.historique-meteo.net - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/assets/docs/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2026-03-01,15,5,11,5,12,13,0,91,10,1028,16,15,6,5,113,113,113,0,3,11,,18:43:00,07:31:00,7,113,7,113,15,113,9,113,8,116
2026-03-02,15,9,32,9,13,12,0,86,10,1019,46.25,15,9,6,119,116,113,0,4,10,,18:44:00,07:30:00,8,116,10,116,15,116,11,116,9,113
2026-03-03,17,10,26,10,16,14,0,90,10,1022,32.25,17,10,7,116,116,116,0,4,11,,18:45:00,07:28:00,10,113,12,116,17,116,11,113,11,113
2026-03-04,17,10,34,10,15,14,0,87,10,1023,25.75,17,10,7,116,113,113,0,4,11,,18:47:00,07:26:00,10,116,12,116,17,113,12,113,10,113
2026-03-05,15,12,41,12,15,13,0,80,10,1018,65.125,15,10,9,119,116,122,0,4,7,,18:48:00,07:24:00,12,116,13,116,14,176,13,176,12,113
2026-03-06,13,12,35,12,12,13,0.6,88,10,1019,98.75,13,10,10,353,176,122,0,3,1,,18:49:00,07:23:00,13,176,12,176,13,122,11,122,13,176
2026-03-07,16,12,34,12,15,14,0.1,79,10,1021,68.75,16,10,9,122,176,113,0,3,6,,18:50:00,07:21:00,12,122,12,119,16,176,10,113,12,176
2026-03-08,14,10,10,10,13,12,1.6,92,9.875,1022,84.5,14,9,9,176,353,176,0,3,4,,18:52:00,07:19:00,11,122,11,296,14,176,10,176,10,122
2026-03-09,16,8,9,8,14,15,0.2,93,9.875,1022,64.5,16,9,7,200,116,176,0,3,7,,18:53:00,07:18:00,9,176,10,176,16,113,11,116,10,119
2026-03-10,16,7,5,7,14,15,0,94,10,1022,50.375,16,8,7,116,116,176,0,4,9,,18:54:00,07:16:00,7,116,9,119,16,176,10,116,8,113
2026-03-11,15,8,16,8,14,11,1.6,91,9.875,1026,78.625,15,9,8,116,122,296,0,4,1,,18:55:00,07:14:00,8,116,10,122,15,353,11,176,9,116
2026-03-12,14,5,9,5,12,13,0.1,93,10,1027,24.25,14,8,3,113,116,113,0,2,11,,18:57:00,07:12:00,7,113,7,113,14,113,8,113,9,176
2026-03-13,18,6,9,6,16,15,0,90,10,1024,16.875,18,8,5,113,113,113,0,4,10,,18:58:00,07:10:00,7,113,9,113,18,113,12,116,8,113
2026-03-14,10,5,24,7,5,8,7.8,92,7.25,1012,93.75,10,9,1,353,266,176,0,2,1,,18:59:00,07:09:00,8,296,6,296,8,266,5,176,10,302
2026-03-15,11,3,26,3,9,10,0.1,93,10,1022,26.25,11,2,-2,116,113,113,0,2,11,,19:00:00,07:07:00,3,176,5,113,11,113,6,113,4,176
2026-03-16,14,3,11,3,12,13,0,89,10,1025,11.5,14,8,-0,113,113,113,0,3,12,,19:02:00,07:05:00,3,113,6,113,14,113,8,113,4,113
2026-03-17,19,6,14,6,15,16,0,91,10,1022,4.125,19,9,4,113,113,113,0,4,12,,19:03:00,07:03:00,7,113,9,113,19,113,11,113,8,113
2026-03-18,19,8,18,8,17,14,0,74,10,1011,0.5,19,8,5,113,113,113,0,4,12,,19:04:00,07:01:00,9,113,11,113,19,113,10,113,10,113
2026-03-19,15,9,40,9,14,13,0,70,10,1016,7.125,15,6,5,113,113,113,0,4,12,,19:05:00,07:00:00,10,113,11,113,15,113,9,113,10,113
2026-03-20,16,5,25,5,15,13,0,61,10,1017,4.25,16,5,3,113,113,113,0,4,12,,19:07:00,06:58:00,6,113,9,113,16,113,9,113,7,113
2026-03-21,17,5,14,5,15,15,0,82,10,1014,1,17,7,2,113,113,113,0,3,13,,19:08:00,06:56:00,5,113,9,113,17,113,9,113,7,113
2026-03-22,15,6,24,6,14,12,0.4,90,9.875,1013,38.375,15,6,3,113,113,176,0,3,8,,19:09:00,06:54:00,7,113,9,113,15,176,8,176,9,113
2026-03-23,15,5,10,5,13,14,0,93,10,1021,18,15,6,4,113,113,113,0,2,13,,19:10:00,06:52:00,6,113,9,113,15,113,9,113,8,176
2026-03-24,17,6,9,6,15,16,0,88,10,1024,7.5,17,8,4,113,113,113,0,4,13,,19:11:00,06:50:00,7,113,10,113,17,113,10,113,8,113
2026-03-25,15,7,29,7,15,10,0.2,88,9,1024,33.75,15,7,5,113,113,176,0,3,6,,19:13:00,06:49:00,7,113,10,113,10,266,8,176,9,113
2026-03-26,9,3,26,3,9,9,0.2,86,10,1026,47.25,9,3,-1,113,176,116,0,2,7,,19:14:00,06:47:00,4,176,5,113,9,119,5,113,6,176
2026-03-27,11,2,20,2,10,10,0,92,10,1025,28.75,11,1,-2,116,113,116,0,3,13,,19:15:00,06:45:00,3,116,6,113,11,116,5,116,4,113
2026-03-28,8,3,20,3,8,7,1.3,84,8.875,1028,72.125,8,6,-1,119,176,296,0,3,1,,19:16:00,06:43:00,3,113,6,119,8,266,6,176,4,113
2026-03-29,11,2,33,2,7,11,0,89,10,1032,62,11,2,-4,113,176,116,0,2,9,,19:18:00,06:41:00,4,119,2,116,10,176,6,176,5,176
2026-03-30,9,2,24,2,8,8,0.5,91,9,1034,71.125,9,8,-2,119,122,266,0,3,2,,20:18:00,07:40:00,3,113,5,116,8,176,9,176,4,113
2026-03-31,11,6,24,7,10,11,0.2,88,9,1032,85.625,11,9,3,176,176,122,0,2,4,,20:19:00,07:38:00,8,119,6,119,11,176,10,122,10,266
