#### EXPORT DONNEES METEO POUR "Toulouse (Haute-Garonne) (Midi-Toulousain)" (LAT/LON: 43.604652/1.444209)
#### DONNEES PROVENANT DE https://www.historique-meteo.net - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/assets/docs/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2025-01-01,11,3,16,3,9,7,0,93,10,1031,1.875,11,5,-0,113,113,113,0,3,9,,17:29:00,08:27:00,3,113,3,113,11,113,6,113,4,113
2025-01-02,12,4,9,4,9,9,0,90,10,1026,34,12,4,2,113,116,119,0,3,9,,17:30:00,08:27:00,4,113,4,113,12,116,8,119,5,113
2025-01-03,10,7,10,7,9,8,0.4,92,8,1024,96,10,6,6,122,119,122,0,2,3,,17:30:00,08:27:00,8,266,7,176,10,176,8,122,9,266
2025-01-04,10,8,9,8,10,10,0.3,94,8,1023,78.875,10,9,7,176,143,116,0,2,2,,17:31:00,08:27:00,8,176,9,143,10,176,8,113,8,122
2025-01-05,12,8,28,8,10,10,0,91,10,1014,33.625,12,8,4,116,119,113,0,3,9,,17:32:00,08:27:00,8,116,8,119,12,113,8,113,8,113
2025-01-06,12,8,24,8,12,9,1,90,10,1009,60.625,12,7,6,116,176,353,0,3,4,,17:33:00,08:27:00,8,113,8,113,11,176,8,176,9,116
2025-01-07,11,6,20,6,10,9,0.2,80,10,1014,72.5,11,5,3,119,116,176,0,2,6,,17:34:00,08:27:00,7,176,6,116,11,122,9,176,7,176
2025-01-08,14,9,26,9,13,11,0.1,77,10,1013,40,14,7,7,113,113,113,0,3,9,,17:36:00,08:27:00,10,116,10,113,14,113,9,122,9,176
2025-01-09,14,8,32,10,14,12,0,75,10,1021,59.625,14,9,6,116,122,176,0,4,5,,17:37:00,08:27:00,9,116,8,113,14,176,11,176,9,116
2025-01-10,17,8,10,8,14,14,2.2,91,9.875,1024,55,17,10,8,116,113,119,0,3,9,,17:38:00,08:26:00,9,122,9,113,17,116,12,296,9,119
