#### EXPORT DONNEES METEO POUR "Toulouse (Haute-Garonne) (Midi-Toulousain)" (LAT/LON: 43.604652/1.444209)
#### DONNEES PROVENANT DE https://www.historique-meteo.net - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/assets/docs/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2025-02-01,7,4,9,4,6,5,1.1,94,7,1029,73.375,7,3,2,266,119,116,0,1,4,,18:06:00,08:10:00,4,266,4,143,7,122,4,113,5,119
2025-02-02,11,1,8,1,7,8,0,89,10,1024,27,11,4,0,113,113,119,0,3,10,,18:07:00,08:09:00,2,113,2,113,11,113,7,119,2,113
2025-02-03,11,3,9,3,9,8,0,89,10,1028,3.25,11,4,1,113,113,113,0,3,10,,18:08:00,08:08:00,4,113,4,113,11,113,6,113,5,113
2025-02-04,11,3,7,3,9,8,0,86,10,1032,1.5,11,2,3,113,113,113,0,3,10,,18:10:00,08:07:00,4,113,3,113,11,113,6,113,4,113
2025-02-05,12,3,14,3,10,8,0,88,10,1037,2.125,12,3,1,113,113,113,0,3,10,,18:11:00,08:06:00,4,113,4,113,12,113,6,113,5,113
2025-02-06,10,3,10,3,8,8,0,96,8,1035,43.875,10,4,2,143,116,116,0,3,10,,18:12:00,08:05:00,4,113,4,143,10,116,7,122,5,113
2025-02-07,12,3,22,3,9,10,0,81,10,1024,78,12,5,1,122,116,122,0,2,5,,18:14:00,08:03:00,4,122,4,116,12,116,8,176,5,122
2025-02-08,9,4,14,4,8,7,1.1,92,9.875,1026,68.375,9,4,1,176,176,176,0,2,6,,18:15:00,08:02:00,6,296,5,176,9,176,5,116,8,119
2025-02-09,10,2,13,2,8,9,0,92,10,1027,47,10,3,1,113,116,119,0,3,6,,18:16:00,08:01:00,3,113,3,113,10,119,8,176,4,113
2025-02-10,12,7,17,7,9,10,0,87,10,1024,88.625,12,7,4,176,176,122,0,2,3,,18:18:00,08:00:00,7,122,7,176,12,116,9,176,7,176
