#### EXPORT DONNEES METEO POUR "Toulouse (Haute-Garonne) (Midi-Toulousain)" (LAT/LON: 43.604652/1.444209)
#### DONNEES PROVENANT DE https://www.historique-meteo.net - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/assets/docs/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2025-06-01,27,16,9,16,26,25,0.5,91,10,1020,35.5,28,18,16,113,116,176,0,6,12,,21:29:00,06:16:00,17,113,21,113,27,176,19,353,20,113
2025-06-02,22,17,14,17,17,22,6,94,8.625,1020,86,24,17,17,353,353,176,0,4,6,,21:30:00,06:15:00,17,176,17,176,20,176,16,302,17,143
2025-06-03,23,15,10,15,22,23,0.7,97,6.25,1017,64,25,16,15,143,176,116,0,4,7,,21:31:00,06:15:00,14,143,19,176,22,200,17,263,16,143
2025-06-04,19,14,12,14,16,19,3.3,95,9,1018,95.125,19,15,13,143,176,176,0,4,2,,21:32:00,06:14:00,14,353,14,176,19,176,17,116,16,353
2025-06-05,23,15,7,15,21,23,0,82,10,1018,50.875,25,13,15,116,116,116,0,5,14,,21:32:00,06:14:00,14,122,17,116,23,116,17,116,15,116
2025-06-06,25,15,13,15,23,23,0.3,78,9.875,1018,45.125,26,17,15,116,113,176,0,5,12,,21:33:00,06:14:00,14,116,20,116,25,116,19,176,15,116
2025-06-07,21,16,15,16,20,19,0,91,10,1021,85.75,21,16,16,122,176,176,0,4,1,,21:34:00,06:13:00,17,116,17,176,21,176,17,176,19,176
2025-06-08,22,12,13,12,19,22,0,95,9,1023,50.625,24,13,11,143,176,119,0,5,5,,21:34:00,06:13:00,12,113,17,176,21,119,16,113,14,113
2025-06-09,27,13,11,13,24,26,0,82,10,1023,2.875,26,11,14,113,113,113,0,5,15,,21:35:00,06:13:00,13,113,20,113,27,113,19,113,15,113
2025-06-10,31,15,10,15,28,30,0,72,10,1020,12.5,30,15,15,119,113,113,0,6,15,,21:35:00,06:13:00,15,113,22,113,31,113,23,113,17,113
