#### EXPORT DONNEES METEO POUR "Toulouse (Haute-Garonne) (Midi-Toulousain)" (LAT/LON: 43.604652/1.444209)
#### DONNEES PROVENANT DE https://www.historique-meteo.net - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/assets/docs/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C_6H,TEMPERATURE_NOON_C_12H,TEMPERATURE_EVENING_C_18H,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING_6H,WEATHER_CODE_NOON_12H,WEATHER_CODE_EVENING_18H,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C_3H,WEATHER_CODE_NIGHT_3H,TEMPERATURE_9H,WEATHER_CODE_9H,TEMPERATURE_15H,WEATHER_CODE_15H,TEMPERATURE_21H,WEATHER_CODE_21H,TEMPERATURE_MIDNIGHT_0H,WEATHER_CODE_MIDNIGHT_0H
2025-03-01,11,3,11,3,7,10,0,76,10,1022,7.5,11,1,1,113,113,113,0,3,11,,18:43:00,07:31:00,4,113,3,113,11,113,7,113,6,113
2025-03-02,13,4,11,4,9,13,0,73,10,1025,61.625,13,4,3,122,116,119,0,2,8,,18:44:00,07:29:00,4,116,4,122,13,116,9,116,5,119
2025-03-03,13,7,23,7,12,12,0,70,10,1024,67.125,13,7,4,119,119,119,0,3,3,,18:46:00,07:27:00,8,116,7,119,13,122,9,119,8,116
2025-03-04,15,8,21,8,13,14,0,86,10,1022,46.75,15,7,5,116,116,116,0,3,8,,18:47:00,07:26:00,8,116,9,116,15,122,9,113,8,119
2025-03-05,16,8,27,8,14,13,0,88,10,1022,14.625,16,7,5,116,113,113,0,4,11,,18:48:00,07:24:00,7,113,10,113,16,113,10,113,8,113
2025-03-06,17,10,29,10,16,14,0,81,10,1020,16,17,9,6,113,113,113,0,4,11,,18:49:00,07:22:00,9,113,11,116,17,113,11,113,10,113
2025-03-07,15,10,31,10,14,13,0,78,10,1016,19.875,15,8,7,113,116,116,0,4,11,,18:51:00,07:21:00,10,113,12,113,15,113,11,113,10,113
2025-03-08,17,12,38,12,17,14,0.8,86,10,1008,42.75,17,10,9,299,113,113,0,3,11,,18:52:00,07:19:00,11,122,13,113,16,113,12,116,11,119
2025-03-09,13,11,27,11,11,13,3.1,94,9.625,1001,66.5,13,9,7,305,176,113,0,4,4,,18:53:00,07:17:00,12,176,11,305,13,116,10,116,12,116
2025-03-10,15,5,11,5,12,13,0.1,94,9,1002,33.125,15,8,4,116,116,113,0,3,8,,18:54:00,07:15:00,7,113,8,116,15,176,10,116,7,113
