1779257333875.0,1773637260,,0,
1779257340064.0,1773638940,1060318,1.0,9add1478-2875-4c1f-9317-bf6a246a9fc1
1779257340423.0,1773639000,1060318,1.0,9add1478-2875-4c1f-9317-bf6a246a9fc1
1779257340703.0,1773639060,1060318,1.0,9add1478-2875-4c1f-9317-bf6a246a9fc1
1779257341040.0,1773639120,1060318,1.0,9add1478-2875-4c1f-9317-bf6a246a9fc1
1779257341188.0,1773639180,1060318,1.0,9add1478-2875-4c1f-9317-bf6a246a9fc1
1779257341323.0,1773639240,1060318,1.0,9add1478-2875-4c1f-9317-bf6a246a9fc1
1779257341452.0,1773639300,1060318,1.0,9add1478-2875-4c1f-9317-bf6a246a9fc1
1779257341940.0,1773639360,1060318,1.0,9add1478-2875-4c1f-9317-bf6a246a9fc1
1779257349133.0,1773640860,1060318,3.0,9add1478-2875-4c1f-9317-bf6a246a9fc1
1779257362244.0,1773642660,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257362835.0,1773642720,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257363521.0,1773642780,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257363875.0,1773642840,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257364455.0,1773642900,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257365123.0,1773642960,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257365124.0,1773642960,1290808,1.0,944a6f1f-9e5e-4f60-a402-142d17bf1910
1779257365721.0,1773643020,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257365722.0,1773643020,1290808,1.0,944a6f1f-9e5e-4f60-a402-142d17bf1910
1779257366264.0,1773643080,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257366265.0,1773643080,1290808,1.0,944a6f1f-9e5e-4f60-a402-142d17bf1910
1779257366608.0,1773643140,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257366609.0,1773643140,1290808,1.0,944a6f1f-9e5e-4f60-a402-142d17bf1910
1779257367119.0,1773643200,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257367120.0,1773643200,1290808,1.0,944a6f1f-9e5e-4f60-a402-142d17bf1910
1779257367851.0,1773643260,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257367851.0,1773643260,1290808,1.0,944a6f1f-9e5e-4f60-a402-142d17bf1910
1779257368413.0,1773643320,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257368414.0,1773643320,1290808,1.0,944a6f1f-9e5e-4f60-a402-142d17bf1910
1779257368755.0,1773643380,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257368756.0,1773643380,1290808,1.0,944a6f1f-9e5e-4f60-a402-142d17bf1910
1779257369323.0,1773643440,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257369324.0,1773643440,1005939,0.0,cc16b24c-c056-44b5-a6a0-a8d786aa6221
1779257369324.0,1773643440,1290808,1.0,944a6f1f-9e5e-4f60-a402-142d17bf1910
1779257369931.0,1773643500,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257369931.0,1773643500,1005939,0.0,cc16b24c-c056-44b5-a6a0-a8d786aa6221
1779257370792.0,1773643560,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257370793.0,1773643560,1005939,0.0,cc16b24c-c056-44b5-a6a0-a8d786aa6221
1779257371375.0,1773643620,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257371375.0,1773643620,1005939,0.0,cc16b24c-c056-44b5-a6a0-a8d786aa6221
1779257371376.0,1773643620,1054254,1.0,5e57abeb-9216-4eb3-866f-b930ea705718
1779257371725.0,1773643680,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257371725.0,1773643680,1005939,0.0,cc16b24c-c056-44b5-a6a0-a8d786aa6221
1779257371726.0,1773643680,1054254,1.0,5e57abeb-9216-4eb3-866f-b930ea705718
1779257372306.0,1773643740,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257372307.0,1773643740,1005939,0.0,cc16b24c-c056-44b5-a6a0-a8d786aa6221
1779257372307.0,1773643740,1054254,1.0,5e57abeb-9216-4eb3-866f-b930ea705718
1779257372851.0,1773643800,192116,3.0,615b02fd-8c0d-4bb0-aac2-c38dc5595c73
1779257372852.0,1773643800,769756,3.0,2ae1fa58-3bb3-4e96-ad01-170d191fa552
1779257372852.0,1773643800,1005939,0.0,cc16b24c-c056-44b5-a6a0-a8d786aa6221
